Experiment,Accuracy,Precision,Recall,F1-Score,AUC,CV_Mean,CV_Std
A: Minimal,0.8029,0.6784,0.3961,0.5002,0.8235,0.8028,0.0038
B: Governance,0.8218,0.7152,0.4308,0.5377,0.8414,0.8234,0.0044
C: Balanced,0.8275,0.8149,0.8474,0.8308,0.9106,0.8248,0.0037
